TWEET,MT1,MT2,MT3,SASI
14.5mil people are now unemployed + looking for jobs. The unemployment rate jumped to 9.4% from 8.9%. Tips: LINK TREF ,2,1,1,1
album art making swift progress. Sunley ++!,1,1,1,1
"Am I always talking about food?? REF This is for you, fat kid.",4,5,3,5
And Nicole rode their bikes to church... Now it looks like It's going to rain. Great!,4,5,3,5
Any questions on how the Lakers are going to play???? Lakers!!,1,4,3,4
Anyone here on tworld have tiger woods 2010 on the wii? Send me a friend code and we can play,1,1,1,2
"Apparently, there is no such thing as a 'Social Media Marketer' (interesting article):  LINK ",3,5,1,1
Are these siamese-looking cherries safe to eat? It just looks wrong.,2,5,2,4
"As a man trying to score with a woman, you do not want her to be guarded or uncomfortable around you.",1,1,2,1
At phloflo don't use the persons user name when tweeting we can make a default accout so every one. uses that persons user name I'll dm ppl,1,4,1,1
back from summer school. Movies with Katie tonight!,1,1,1,1
Back to netbeans and intranet apps ... back to trees????,4,5,4,5
"Bing is alright, but it's more Live\/MSN than Google. In fact, it just looks like Live search has been reskinned. The results are identical.",1,3,1,4
Bobbing around in Mahone Bay. Guys trying to save a sinking speed boat :),3,4,1,1
"By the way, the place was bound up because of road construction and there were cops and fire engines on their way as I tried to slide by.",1,1,1,1
"chillin, watching a movie :O)",1,1,1,1
Cool wallpaper for iPhone & iPod Touch: LINK and LINK ,2,1,1,1
Dances In The Kitchen: Social Networking: Enter a veritable smorgasboard of culinary activity in North America. .. LINK ,1,2,1,1
Dear iPod: why can't you read my mind and play the music i want to hear???,2,5,3,4
Did you ever ask anyone out whilst doing surgery???TREF ,2,4,1,4
Did you hear about cro cop? Well I didnt see that one coming. Punkd us all I guess. Sticking it to the man I guess. (\\That man being DW),4,5,3,5
"Didn't iron shirt. It still looks okay. I guess. Anyway, I think I'm running a bit late. Oh well.",1,5,1,4
Dizan and I watchin opra!!!,1,2,1,1
"euna lee wiki: LINK Princess Hours (Korean: %uAD81, Hanja: %u5BAB, romanized as Goong and also known as Th ...",1,1,1,1
"Even if I understand and use a lot tags in photos, I still don't see the use of Gravityapps' Tags. Anybody is using it ?",1,3,1,2
Extra Marital Affairs: Extra marital affairs are often perceived as a repercussion of a poor marital relationshi.. LINK ,1,1,1,1
Feels like its feeding time.,2,4,1,1
Finished the anime Kannagi.  It got weird in the end with no comedy.  Ending was okay I guess.,1,4,1,5
First tweet from iphone Tweetdeck app. Pretty much a mobile version of the desktop app. that I love,1,4,1,1
For Everyone who doesn't know this....  I Hate The Olive Garden!! No sir I will not be there = ) thanks but no thanks!!!,1,5,3,5
Gah! Woke up n now having a headache :\/,1,5,1,1
ghanaian champs claim everton to play them in ghana july 12 LINK ,1,1,1,1
Gind contest??? someone needs to slap spectaculars PR and Him!,4,5,3,4
"Go magic tonight, enen this thing up",1,3,1,1
Gonna ball it upp at the gym lets see how training camp works off on me. Gonna own some nukkas!,1,4,1,2
Guess what lupe?????!!!! Chicken but!!!! Ha ha ha remember how ppl u to say that? How annoying lmao,2,5,2,5
Hanging with jess ;-) then back to mi &lt;*Shana*&gt;,1,1,1,2
"Have I mentioned I love my job? Even Leon the Chameleon's looking very green this morning. Still digesting his cockroaches, I guess.",5,3,5,5
how do you incorporate full demonic metabolic transformation in a London setting with 3 main characters and a genetic reason 4 abilities???,2,4,4,5
Hypes in advertising. When it works and when it doesn't. LINK  [PLEASE RT THIS],1,1,3,5
I am trying to get my mess of a condo cleaned up so it actually looks like people live here. Right now it looks like Hurricaine Ayla hit!,1,3,2,4
I can't get anything done when my mind is all over the place!,2,1,3,1
"I had my sister paint my toenails for me, now it looks like a strawberry!",3,3,3,4
"I have not been dumped yet, for my many morning tweets, and I am approaching fifty.  I wonder what the magic number is.  More to come.",1,3,4,1
i just put my cellphone to my ear and waited for the dial tone...just as long as i don't doze off and wrap my car around a tree i guess...,4,3,5,5
i just thought of something that i could do.. but i'd need permission i guess..,5,3,2,4
"I knew i shouldnt have painted my nails... now i picked some polish off, and now it looks like turd. Blech. Anyway. I am off to beds. Ttys.",1,2,1,4
"I'm updating my iPhone to 3.0 now, even though I can't even use it here in Finland with my operator Elisa Oyj. iPhone = defective by design.",1,5,4,5
I'm writing another Quick Tip. Plenty of Free Tips are available on LINK ,1,3,1,1
is bored; maybe looking through some magazines.,1,1,1,1
is kicking back listening to ACDC - Black Ice whilst unwrapping my new wipper snipper.Should I use the instructions????,1,3,4,4
Is saying DONT FRONT... We all have shows that we just kant stand!!! and dont overstand why there is so much hype around it! Name a show???,1,3,4,4
It amazes me that we have so many right wing nut jobs in this world.  What the hell happened????,1,3,3,4
it's about damn time you start playing like world champs... now bring it back home with you silly phillies!,1,2,4,1
"Jewels and Princess footwear, a shoe dream that is Holster Fashion - LINK ",1,1,5,1
just for the record...this whole joining twitter thing was a joke. but now it looks like i might actually use it...,2,2,3,5
"Just got finished making tomorrows dinner for REF hope she likes chicken, noodles and bacon in a creamy sauce. Yum!",4,1,5,1
"just washed my sisters car, got totally soaked coz the actual hose thing came off, but i did a good job i guess.",1,1,2,5
"Lastnight i slept on my hair wet, and now it looks like just  i walked through a hurricane",1,3,2,4
"learning this matlab thing. it's pretty overrated. unless you want to like, solve matrices and stuff i guess.",2,4,4,4
Letting everyone know that this is the best time to travel.  AMAZING DEALS!,1,1,3,1
"like squirrels, but don't want the real ones in ur garden?  then this is for you!  LINK ",1,2,4,4
lil wayne is a ok rapper but young jeezy woild kill him in a freestyle,1,1,2,1
LINK  Todd doing his Twitter Thang For the boys,1,1,1,1
looking for friends,2,1,1,1
Making the rest of my ravioli from The First Ravioli Store with a sage butter sauce. Tasty!,2,1,5,1
"Meeting with the supervisor went much better than expected, but he gave me shit load of things to do. Can't win everything, I guess. :-\/",1,3,1,5
My legs are jello after day 5 of TREF 30 day challenge.  Jumping lunges???? Seriously???,3,4,2,5
N Boston REF bobbyv keyshia show. Starting now...4got about the damned dream..at at at at atnight,1,2,2,1
new favorite video: you belong with me by taylor swift ;;,1,1,2,1
not comfortable using clients...prefer the web...hope i get used to this quick...,1,1,1,1
"Okay, I like Windows. I also like Mac. And it's my fucking money. Yes I got a Macbook. Enjoying both worlds is illegal I guess... People  :(",4,4,3,5
On a side note: i refilled the birdfeeders outside my place and now it looks like a shark feeding frenzy!,3,5,3,4
Proper Home Heating and Cooling Maintenance LINK TREF TREF ,1,1,1,1
"QID dosing on Rx for Tussionex? Thanks, but no thanks, rookie MD and bully patient...find another pharmacy!",4,5,4,5
"Randome Fact: Did you know that we have 1260 days, 21 hours and 59 mins until the next presidential election??? Obama 2012!!!",2,5,1,4
REF  hahahaha exactly (: and she designs it  u know it loOks like hip hop clothes but worse,4,5,4,4
REF  Ive been robbed!!! i was 4 away from 700.... now i need 7 ???? WTF....LOL  TWIT HAPPENS!,4,3,3,4
REF  Still not seeing an Avatar????  Get rid of those bad boys...pink is out...RED IS IN!  lol,4,4,3,5
REF 1 out of 4 isn't that bad I guess...! Back to my cake-making - at least I'm good at that!!,5,3,4,5
"REF ack!  he was cute enough, i guess... for a 22 yo!  oh, he used the word sweettits more than once.  then the eyerolling started.",5,5,4,5
REF At the start it looked like a caterpiller but right now it looks like a tremor slug :),3,5,4,4
REF but I'm not that impressed just rooting for her to do well,1,3,1,1
"REF cibubur, eating \",1,3,1,1
REF Cool. I actually swam 2x today but undid it by cooking something very tasty and nomming just a tiny bit too much.,2,4,1,1
"REF good for you, but no thanks.",3,5,3,4
REF Ha!  You crave Tex-Mex while I'm completely jealous of the amazing Italian food you've likely been getting.  I'll trade ya!,3,1,2,1
REF HAve yuo read Infinite JEst by David Foster Wallace or Neverwhere by Neil Gaiman? I need people to discuss there books with.,1,4,1,1
REF he's having a concert at the casino I work at....he needs more plastic surgery or something lol.....,5,5,4,1
REF hot??? Its rainin in south east london!,5,5,2,4
REF I don't care if it's really him or not. I just have a love\/hate relationship with myself because I actually bother looking. XD,4,5,3,4
"REF i feel your pain. Drink some for me too, k? TREF ",3,1,2,1
REF I have a laaaame pick up line....Did it hurt? when you fell from heaven??? hee hee!,3,4,1,4
REF i have no idea. i'm just going on my own sense of time. don't ask for plans -- there aren't any.,4,5,3,1
"REF i wanted to love it, but had really bad service and food!",2,5,1,5
REF I wanted to love it. I really tried. But it was just so sloooooow for me!,2,5,1,5
REF if you are not following REF or reading IW Blogger - LINK you should!,1,1,1,1
REF I'm not sure what you're talking about with \,1,4,1,1
"REF in reply to your sms, no, i do not want a hedgehog, i would only to feed my snake,but to keep one as a pet.thanks, but no thanks",4,5,3,5
REF it took long enough but i'm just a sheep in disguise i guess. Baaa. Still not sure how to work it tho.,4,5,3,5
REF it's me ash and Loyad so far.. R u down? I'm gonna ask mike and nadia today. Dunno who else yet,1,1,1,1
"REF I've never had a problem with it before, so disappointing!  its lovely when it works",2,4,3,5
"REF just hit the shortcut for  Browsing, and those tabs disappear now it looks like you've been busy working! Saved by Panic Mode!",5,3,3,5
"REF LMAO, i know. :DDD Also, i'm v disappointing in your fbook-stalking capabilities. Networks: Somers High School '09, Binghamton '13",5,2,4,2
"REF lol...thanks but no thanks, I dont use the twitter page enough to PAY for something!",5,4,3,4
REF looking forward to true blood new season,1,1,1,1
"REF manini, I just going for relax but brought my fins just in case.",1,2,1,1
REF mantyhose my ass. Wht in goodness name is a mantyhose???,4,5,3,4
REF Maybe NOT???? I'm NOT but I was moving on!!!,5,3,3,4
"REF No, I meant at the Gallery. We wanted you to come with us, but you know who what happened there.",1,2,2,1
REF not presently (cool idea though - will pass on) 4 now would have 2 make a separate recording and add at end.,1,1,1,1
REF NWA??? Are you referring to the hip-hop group N!TREF With Attitude??? LoL =),3,4,4,4
"REF Ok, Whats the movie youre going to watch tonight?",1,1,1,1
REF OMFG!!!  You're going to kiss him???!!!  Good for you!!  I wouldn't have the balls!!!  lol  :P,3,1,3,5
REF pretty close when it works. Mine has not worked in two days.,3,3,3,5
"REF Ready for the weekend, supreme chancellor.",4,2,4,1
"REF REF I know!! I don't even know wot da picture is of, but it just looks nasty! Digital Lice, good one, DOC!",2,2,4,5
REF ROTFL at REF has laser beams for eyes...,5,3,3,1
REF seems to work to & from url box too: searchengineland.com\/microsofts-search-engine-optimization-advice-for-bing-21152,1,1,1,1
REF show support for democracy in Iran add green overlay to your Twitter avatar with 1-click - LINK ,1,1,1,1
REF Technology is great when it works lol. I have the same problem with UK not believing my postcode because Irish ones are different.,3,5,4,5
REF thank you for the follow....What it look like????,1,1,1,4
REF Thanks for retweeting.,1,1,1,1
REF thanks for the RT!,1,1,1,1
"REF That is very disturbing, cannibalistic imagery. I'm not sure if it is funny or just sick. Both, I guess. We eat their souls.",4,3,5,5
REF That stinks!!!!!!!!!!!!!,1,1,1,2
REF that will be fun! I'm seeing hey monday this summer I can't wait. are you a fan of them?,1,1,1,2
REF Um question....are we doing famous people or people on twitter...?,2,1,2,1
"REF ummm u didnt get the text? Rehearsal is cancelled, Kelly's allergies are acting up and he's incapacited",1,1,2,1
REF was I complaining about the tickling??? I was just commenting!!!!,1,5,5,5
REF watch permanent midnight its a very strange ben stiller and owen wilson movie.,1,1,1,1
REF We don't know yet; she is coming from Fort Bragg is all we know. Americans got there ass beat last night.,1,2,3,2
REF well that's the bloody problem.. I'm the only 20yr old in the house but all the others feel that they've never had to clean,1,1,5,1
REF What are you chopping off?,1,2,2,2
"REF What hotel are you staying at, out of interest? I'm trying to remember my sketchy brain-map of downtown LA :)",1,2,2,2
REF what is that from? i swear i've heard that before.,1,1,1,1
"REF When it works it's great, but combat sucks and later in the game it's more like a death simulator. Determined to beat it though.",2,5,2,5
REF Williamson was bonkers and no mistaking but I reckon it's more complex with him. Not enough characters to do it justice here!,1,2,3,1
REF you find it hard to eat 1000 cal???? OMG! I think I just had that in the last 5 min!!!!LOL,3,3,5,4
"Rehearsal With Taylor Parks..... Done at 3pm, ima wanna eat after. Any Takers???",1,1,1,2
RT REF BREAKING NEWS: Chickens killed in crash LINK sure whether to laugh or not. ..  ???,3,3,5,4
RT REF i am told yearbooks are in the mail!      Is this a Dream???,1,2,3,5
"RT REF REF HOT DOG??? ME??? not you, my dear - i was talking about putting peanut butter on hot dogs",3,4,5,4
"Sack the Juggler, or am I simply talking balls???!  LINK if you are doing too many things at once then this is for you.",2,1,5,5
School Board meeting 7 PM tonight! Shoreline Center. TREF ,1,1,1,1
"Sim, chega de planning por hoje... To vendo tv e o DeNiro gay! Rs",3,3,1,1
Snow + Cabin + Nazi Zombies = BEST MOVIE EVER! LINK This is for you REF ,3,2,3,4
Some fantastic photos of London shot at night from above LINK ,1,1,1,1
Sonoma: NASCAR Sprint Cup Starting Line-up &amp; Race Preview - PaddockTalk: LINK ,1,1,1,1
Stoneridge Shooting-Stabbing - LINK ,1,1,1,1
sunburnt! but now it looks like its going to rain :S,1,2,1,4
Survived the weekend. Now I just have to survive the night. Oh... and the rest of my life I guess.,3,4,5,5
Testing 123,1,1,1,1
Testing this zensify thing on the iPhone. All social media accounts in one client. ????,1,1,1,5
thanks but no thanks i will NOT be checking them out today or EVER for that matter. not unless i want my ears to bleed.,3,5,4,5
Thanks but no thanks.  I wonder if anyone has done a study to determine how advertising drives human beings insane?,2,3,4,5
"the bad news is that there are tons of emails to sift through after being gone for a week, the good news is that only 4 or 5 are important.",3,3,3,5
the fcw main site is down for upgrades....UPGRADES,1,1,3,1
"The good news about this rain is that I don't need to water the grass, the bad news is keeping it cut.",4,1,3,5
"the good news is last night my dream was not about taylor lautner and keelan lutz, but my prince 3.  the bad news is i forget about it. ah!",2,1,3,5
The good news: the bee is dead.  The bad news: should wear shoes in grass.,5,1,4,5
The good news: we're through to our first Leinster final in 18 years. The bad news: half the house isn't so happy. Beating Wexford is no fun,1,3,3,5
The rash on my face has gotten worse & i'm feeling so unwell. Can't eat. Appointment at St. Franciscus dermatology dept. this afternoon.,1,1,1,1
"thinks that a Ladies Night is probably the last thing in the world she wants to attend.. So thanks, But NO THANKS.",1,5,3,4
Traded in my useless NEW phone today for another one. Technology is wonderful when it works,4,3,4,5
TREF A win is a win is a win I guess. Winning in the rain doesn't give you much cred in my eyes. NASCAR needs to adopt rain tires.,3,3,3,4
"trying to sort out email and telephone issues, technology can be great when it works properly.",4,1,2,5
twice in one month.. come on now... seriously???,2,4,4,4
ugh..i feel a slight pain in my chest area...like where the heart is...=(,1,1,4,1
uploading photos on here sucks my ass!!!! what the hell file is not too large twitter??? huh??? im going to punch babies i sware!!!!,3,5,4,5
waiting Camilla and getting ready to new workweek,1,1,1,1
wants 2 b out in the sun,1,1,1,1
watching the game.. Let's Get LAKERS!!!,1,1,1,1
What an amazing ending to 24! Best season yet! Can you believe it???!! Someone pinch me please!,1,1,1,4
"What happened to Niemboes today? I haven't heard from him. Anyways, he'll be at the studio early in the morning tomorrow... 07.30 Tooms.",1,1,1,1
"wheres all them rappers?Do u wanna get on a compelation? BOSS HOGG OUTLAWS ,Gemini, Question, Gerald G and Magno Features",1,1,1,1
Why is it that speaking the truth is mostly connected to hurting ...,1,1,3,1
WHY would you send all the profits from selling off old Yankee Stadium merchandise to the already over payed players??? THATS STUPID!!!,3,1,3,4
Wow flower arranging and singing whatever next??? Maybe a revelution like dancing and singing????,4,5,4,4
"wow, amzed to see how many people didnt got tickets for FNM. Too bad for then.",1,2,1,1